TITLE,c
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/07/09
TIME,17:28:58
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  800.0000
LASTX,  200.0000
NPOINTS,    3001
FIRSTY,     0.00076
MAXY,     0.74634
MINY,    -0.00008
XYDATA
746.0000,0.000388787
745.8000,0.000383773
745.6000,0.000381923
745.4000,0.00038049
745.2000,0.000376013
745.0000,0.000373148
744.8000,0.000365089
744.6000,0.00035315
744.4000,0.000349688
744.2000,0.000340734
744.0000,0.000343957
743.8000,0.000343181
743.6000,0.000338107
743.4000,0.000333153
743.2000,0.000330168
743.0000,0.000328914
742.8000,0.000331183
742.6000,0.000330824
742.4000,0.000333212
742.2000,0.000332973
742.0000,0.00033363
741.8000,0.000335122
741.6000,0.00033948
741.4000,0.00034342
741.2000,0.000342704
741.0000,0.000348434
740.8000,0.000348016
740.6000,0.000344196
740.4000,0.000345927
740.2000,0.000348792
740.0000,0.000182544
739.8000,0.000194543
739.6000,0.000198244
739.4000,0.00020678
739.2000,0.000219017
739.0000,0.000231255
738.8000,0.00024385
738.6000,0.000254237
738.4000,0.000261699
738.2000,0.000273757
738.0000,0.000286591
737.8000,0.000287248
737.6000,0.000285218
737.4000,0.00028092
737.2000,0.00027698
737.0000,0.000273458
736.8000,0.000267489
736.6000,0.000263012
736.4000,0.000264803
736.2000,0.000265937
736.0000,0.000264086
735.8000,0.000254953
735.6000,0.000249163
735.4000,0.000243194
735.2000,0.000239313
735.0000,0.000231911
734.8000,0.000222122
734.6000,0.000213287
734.4000,0.00020296
734.2000,0.000190185
734.0000,0.000180575
733.8000,0.000170904
733.6000,0.000160458
733.4000,0.000148041
733.2000,0.000135625
733.0000,0.00011909
732.8000,9.94503E-005
732.6000,9.18691E-005
732.4000,8.23778E-005
732.2000,6.9663E-005
732.0000,5.31874E-005
731.8000,4.7218E-005
731.6000,4.22037E-005
731.4000,3.77266E-005
731.2000,4.39945E-005
731.0000,5.34262E-005
730.8000,6.38726E-005
730.6000,7.87961E-005
730.4000,9.62865E-005
730.2000,0.000119567
730.0000,0.000141356
729.8000,0.000166785
729.6000,0.000201408
729.4000,0.000227972
729.2000,0.000260027
729.0000,0.000291605
728.8000,0.000323601
728.6000,0.000347181
728.4000,0.000374461
728.2000,0.000395234
728.0000,0.000410695
727.8000,0.000421977
727.6000,0.000432662
727.4000,0.000437319
727.2000,0.000438632
727.0000,0.00044687
726.8000,0.000453436
726.6000,0.000452958
726.4000,0.000456003
726.2000,0.000456839
726.0000,0.000447347
725.8000,0.000440542
725.6000,0.00043111
725.4000,0.00042544
725.2000,0.000414396
725.0000,0.000409024
724.8000,0.000404188
724.6000,0.00040001
724.4000,0.000401741
724.2000,0.000404009
724.0000,0.00040383
723.8000,0.000400368
723.6000,0.000393503
723.4000,0.000393264
723.2000,0.000388489
723.0000,0.000380788
722.8000,0.000377565
722.6000,0.000374043
722.4000,0.00037273
722.2000,0.000367178
722.0000,0.00036479
721.8000,0.000358761
721.6000,0.000350583
721.4000,0.000342704
721.2000,0.000332854
721.0000,0.000322169
720.8000,0.00031405
720.6000,0.00030247
720.4000,0.000297455
720.2000,0.000294829
720.0000,0.000286711
719.8000,0.000284144
719.6000,0.000283009
719.4000,0.00027907
719.2000,0.000274294
719.0000,0.000274593
718.8000,0.000272324
718.6000,0.000271369
718.4000,0.000273697
718.2000,0.000276204
718.0000,0.000277637
717.8000,0.000276563
717.6000,0.000281099
717.4000,0.00028289
717.2000,0.000282054
717.0000,0.000280681
716.8000,0.000280264
716.6000,0.000279129
716.4000,0.000278712
716.2000,0.000279607
716.0000,0.000280502
715.8000,0.000283547
715.6000,0.000285278
715.4000,0.000292262
715.2000,0.000289039
715.0000,0.000287666
714.8000,0.000285517
714.6000,0.000286114
714.4000,0.000279129
714.2000,0.00027704
714.0000,0.000278294
713.8000,0.000272384
713.6000,0.000271548
713.4000,0.000269578
713.2000,0.000267191
713.0000,0.000266713
712.8000,0.000264504
712.6000,0.000258416
712.4000,0.000258236
712.2000,0.000252088
712.0000,0.00025561
711.8000,0.000251431
711.6000,0.000248566
711.4000,0.000248984
711.2000,0.000254237
711.0000,0.00025949
710.8000,0.000255968
710.6000,0.000258595
710.4000,0.000258774
710.2000,0.000261997
710.0000,0.00025943
709.8000,0.000258296
709.6000,0.000254118
709.4000,0.0002537
709.2000,0.000250417
709.0000,0.000245641
708.8000,0.000240627
708.6000,0.000243671
708.4000,0.000241462
708.2000,0.000240209
708.0000,0.000241283
707.8000,0.000239552
707.6000,0.000245641
707.4000,0.000244984
707.2000,0.000246298
707.0000,0.000241104
706.8000,0.000236985
706.6000,0.000236269
706.4000,0.000239194
706.2000,0.00024003
706.0000,0.000241164
705.8000,0.000244626
705.6000,0.000247074
705.4000,0.000244507
705.2000,0.000244865
705.0000,0.000243611
704.8000,0.000239433
704.6000,0.000232926
704.4000,0.000226957
704.2000,0.000223733
704.0000,0.000216331
703.8000,0.00021454
703.6000,0.000215436
703.4000,0.000213466
703.2000,0.000210004
703.0000,0.000203199
702.8000,0.000198662
702.6000,0.000196035
702.4000,0.000192275
702.2000,0.000191439
702.0000,0.000190782
701.8000,0.000189409
701.6000,0.00018923
701.4000,0.000190782
701.2000,0.000190126
701.0000,0.00018923
700.8000,0.000190782
700.6000,0.000192095
700.4000,0.000194065
700.2000,0.00019317
700.0000,0.000196931
699.8000,0.000200811
699.6000,0.000201885
699.4000,0.000201288
699.2000,0.00020099
699.0000,0.000198363
698.8000,0.000199318
698.6000,0.000196035
698.4000,0.0001912
698.2000,0.000186425
698.0000,0.000182246
697.8000,0.00018535
697.6000,0.000188812
697.4000,0.000184634
697.2000,0.000187499
697.0000,0.000188096
696.8000,0.000187738
696.6000,0.000189469
696.4000,0.000188156
696.2000,0.000188574
696.0000,0.000188574
695.8000,0.000187678
695.6000,0.00018332
695.4000,0.000183798
695.2000,0.000182962
695.0000,0.000182903
694.8000,0.000180276
694.6000,0.000173531
694.4000,0.000166725
694.2000,0.000165651
694.0000,0.000160458
693.8000,0.000155384
693.6000,0.000152339
693.4000,0.000146012
693.2000,0.000140579
693.0000,0.00013861
692.8000,0.000135088
692.6000,0.000134013
692.4000,0.000131625
692.2000,0.000128163
692.0000,0.000123746
691.8000,0.000121836
691.6000,0.000123149
691.4000,0.000122074
691.2000,0.000121239
691.0000,0.000123268
690.8000,0.000119149
690.6000,0.000120463
690.4000,0.000118075
690.2000,0.000119388
690.0000,0.000119448
689.8000,0.000117478
689.6000,0.000118552
689.4000,0.000118731
689.2000,0.000119448
689.0000,0.000120761
688.8000,0.00012488
688.6000,0.000127686
688.4000,0.00013079
688.2000,0.000129894
688.0000,0.000133177
687.8000,0.000131446
687.6000,0.000129059
687.4000,0.000130372
687.2000,0.000130133
687.0000,0.00012882
686.8000,0.000127984
686.6000,0.000126432
686.4000,0.000121597
686.2000,0.000120284
686.0000,0.000121358
685.8000,0.000119448
685.6000,0.000117478
685.4000,0.000115508
685.2000,0.000116344
685.0000,0.000119627
684.8000,0.000118314
684.6000,0.000119448
684.4000,0.000126193
684.2000,0.000125716
684.0000,0.000129059
683.8000,0.000130133
683.6000,0.000133416
683.4000,0.000131267
683.2000,0.00013079
683.0000,0.000132103
682.8000,0.000132521
682.6000,0.000135804
682.4000,0.000137117
682.2000,0.000138669
682.0000,0.000132521
681.8000,0.00013079
681.6000,0.000129655
681.4000,0.000126671
681.2000,0.000122492
681.0000,0.000116403
680.8000,0.000113598
680.6000,0.000112046
680.4000,0.000109897
680.2000,0.00011127
680.0000,0.000114971
679.8000,0.000118314
679.6000,0.000115687
679.4000,0.000115269
679.2000,0.000112702
679.0000,0.000109837
678.8000,0.000108703
678.6000,0.000108524
678.4000,0.000108703
678.2000,0.000109121
678.0000,0.000111568
677.8000,0.000112643
677.6000,0.000111747
677.4000,0.000111807
677.2000,0.000113538
677.0000,0.000113538
676.8000,0.000112225
676.6000,0.000107628
676.4000,0.000106733
676.2000,0.000104286
676.0000,0.000107807
675.8000,0.000110255
675.6000,0.000113777
675.4000,0.000115508
675.2000,0.000115269
675.0000,0.000118135
674.8000,0.000119448
674.6000,0.000123149
674.4000,0.000125358
674.2000,0.000128879
674.0000,0.000129118
673.8000,0.000133655
673.6000,0.000135207
673.4000,0.000138968
673.2000,0.000141356
673.0000,0.000142908
672.8000,0.000145057
672.6000,0.000140878
672.4000,0.000140042
672.2000,0.000136759
672.0000,0.00013658
671.8000,0.000136998
671.6000,0.000132819
671.4000,0.000129775
671.2000,0.000125775
671.0000,0.000117657
670.8000,0.000114851
670.6000,0.000107628
670.4000,0.000105599
670.2000,9.99278E-005
670.0000,9.71222E-005
669.8000,9.59283E-005
669.6000,9.34809E-005
669.4000,9.61671E-005
669.2000,9.46748E-005
669.0000,9.50926E-005
668.8000,9.27049E-005
668.6000,9.04365E-005
668.4000,9.11528E-005
668.2000,9.11528E-005
668.0000,9.0735E-005
667.8000,9.53314E-005
667.6000,9.35406E-005
667.4000,9.13916E-005
667.2000,9.24064E-005
667.0000,8.98395E-005
666.8000,8.5661E-005
666.6000,8.32135E-005
666.4000,8.01691E-005
666.2000,7.96916E-005
666.0000,7.64681E-005
665.8000,7.81992E-005
665.6000,8.17212E-005
665.4000,8.10645E-005
665.2000,7.93334E-005
665.0000,7.97513E-005
664.8000,7.95125E-005
664.6000,7.29461E-005
664.4000,7.07374E-005
664.2000,7.16329E-005
664.0000,6.54247E-005
663.8000,6.78721E-005
663.6000,7.18119E-005
663.4000,7.15732E-005
663.2000,7.11553E-005
663.0000,6.63201E-005
662.8000,6.56635E-005
662.6000,5.90971E-005
662.4000,5.46798E-005
662.2000,5.05012E-005
662.0000,4.65614E-005
661.8000,4.43527E-005
661.6000,4.28006E-005
661.4000,4.41736E-005
661.2000,4.17261E-005
661.0000,3.9995E-005
660.8000,3.89205E-005
660.6000,3.16378E-005
660.4000,2.65639E-005
660.2000,2.32807E-005
660.0000,1.75501E-005
659.8000,1.62965E-005
659.6000,1.68934E-005
659.4000,1.75501E-005
