TITLE,c
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/07/09
TIME,17:01:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  800.0000
LASTX,  200.0000
NPOINTS,    3001
FIRSTY,     0.00095
MAXY,     0.74111
MINY,     0.00023
XYDATA
800.0000,0.000949792
799.8000,0.000949792
799.6000,0.000946569
799.4000,0.000939346
799.2000,0.000934451
799.0000,0.00093063
798.8000,0.00092872
798.6000,0.000928243
798.4000,0.00092484
798.2000,0.00092478
798.0000,0.00092096
797.8000,0.000918393
797.6000,0.000915587
797.4000,0.000916244
797.2000,0.000916781
797.0000,0.000919288
796.8000,0.00091905
796.6000,0.000921557
796.4000,0.000921736
796.2000,0.000928243
796.0000,0.000928422
795.8000,0.000931585
795.6000,0.000933257
795.4000,0.000937018
795.2000,0.000940122
795.0000,0.000942868
794.8000,0.000947285
794.6000,0.000947882
794.4000,0.000948777
794.2000,0.00095015
794.0000,0.000952896
793.8000,0.000947285
793.6000,0.000938629
793.4000,0.000931287
793.2000,0.00092878
793.0000,0.000923467
792.8000,0.000927049
792.6000,0.000925437
792.4000,0.000927526
792.2000,0.000927765
792.0000,0.000926511
791.8000,0.000925676
791.6000,0.000926153
791.4000,0.000925318
791.2000,0.000921079
791.0000,0.000914811
790.8000,0.000914632
790.6000,0.000917139
790.4000,0.000921796
790.2000,0.000924959
790.0000,0.000928123
789.8000,0.000927347
789.6000,0.00092478
789.4000,0.000920661
789.2000,0.000914573
789.0000,0.00091123
788.8000,0.00090729
788.6000,0.000902813
788.4000,0.000897619
788.2000,0.000896605
788.0000,0.000899351
787.8000,0.0008975
787.6000,0.000894396
787.4000,0.000897321
787.2000,0.000900306
787.0000,0.00090329
786.8000,0.000902693
786.6000,0.000905201
786.4000,0.000904604
786.2000,0.00090526
786.0000,0.000908484
785.8000,0.000907648
785.6000,0.000911468
785.4000,0.000912364
785.2000,0.000918274
785.0000,0.000922273
784.8000,0.000919826
784.6000,0.000925676
784.4000,0.000926989
784.2000,0.000924124
784.0000,0.000920542
783.8000,0.000918035
783.6000,0.000916423
783.4000,0.000914811
783.2000,0.000914214
783.0000,0.000912364
782.8000,0.00090526
782.6000,0.000907827
782.4000,0.000906753
782.2000,0.000905977
782.0000,0.000898455
781.8000,0.00089171
781.6000,0.000885442
781.4000,0.000878935
781.2000,0.000871832
781.0000,0.000869921
780.8000,0.000870578
780.6000,0.000869981
780.4000,0.000868131
780.2000,0.000867951
780.0000,0.000863295
779.8000,0.000865265
779.6000,0.000864907
779.4000,0.000861325
779.2000,0.000855416
779.0000,0.000852073
778.8000,0.00085064
778.6000,0.000847178
778.4000,0.000848193
778.2000,0.000846581
