TITLE,c
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/07/09
TIME,16:29:48
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  800.0000
LASTX,  200.0000
NPOINTS,    3001
FIRSTY,     0.00141
MAXY,     1.37313
MINY,     0.00090
XYDATA
800.0000,0.00140794
799.8000,0.00140872
799.6000,0.00140908
799.4000,0.00141129
799.2000,0.00140908
799.0000,0.00140436
798.8000,0.0014009
798.6000,0.0014006
798.4000,0.00139505
798.2000,0.00139833
798.0000,0.00139845
797.8000,0.00139815
797.6000,0.00139678
797.4000,0.00139738
797.2000,0.00139457
797.0000,0.0013932
796.8000,0.00139254
796.6000,0.00139499
796.4000,0.00139726
796.2000,0.00140168
796.0000,0.00140436
795.8000,0.0014092
795.6000,0.00141421
795.4000,0.00141755
795.2000,0.00142281
795.0000,0.00142066
794.8000,0.00141875
794.6000,0.00141708
794.4000,0.00141666
794.2000,0.00142126
794.0000,0.00142084
793.8000,0.00142006
793.6000,0.00141666
793.4000,0.00140908
793.2000,0.00140424
793.0000,0.00139648
792.8000,0.00139774
792.6000,0.00139099
792.4000,0.00139081
792.2000,0.00138747
792.0000,0.00138204
791.8000,0.00138228
791.6000,0.00138645
791.4000,0.00138819
791.2000,0.0013852
791.0000,0.00137326
790.8000,0.00137392
790.6000,0.00137052
790.4000,0.00136765
790.2000,0.00136622
790.0000,0.00136329
789.8000,0.00135744
789.6000,0.00135153
789.4000,0.001347
789.2000,0.00133733
789.0000,0.0013338
788.8000,0.00133094
788.6000,0.00132694
788.4000,0.00131434
788.2000,0.00130724
788.0000,0.00130432
787.8000,0.00130503
787.6000,0.00130002
787.4000,0.00129924
787.2000,0.00130324
787.0000,0.00130479
786.8000,0.00130611
786.6000,0.00130927
786.4000,0.00130623
786.2000,0.0013067
786.0000,0.00131034
785.8000,0.00130724
785.6000,0.00131005
785.4000,0.00130479
785.2000,0.00131011
785.0000,0.00131375
784.8000,0.00131213
784.6000,0.00131213
784.4000,0.00131225
784.2000,0.00130915
784.0000,0.00130455
783.8000,0.0013027
783.6000,0.00130085
783.4000,0.00129948
783.2000,0.00129847
783.0000,0.00129661
782.8000,0.00129035
782.6000,0.0012925
782.4000,0.00128891
782.2000,0.00128999
782.0000,0.00128378
781.8000,0.0012802
781.6000,0.00127602
781.4000,0.00127351
781.2000,0.00126975
781.0000,0.00126975
780.8000,0.00127023
780.6000,0.00127047
780.4000,0.00127184
780.2000,0.00127095
780.0000,0.00127035
779.8000,0.0012719
779.6000,0.00127363
779.4000,0.00126898
779.2000,0.00126498
779.0000,0.00125972
778.8000,0.00126044
778.6000,0.00125674
778.4000,0.0012565
778.2000,0.00125399
