TITLE	250829-7CB-Delta-1500-34dc-1
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	25/08/29
TIME	13:44:50
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-715, Rev. 1.00
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	CD[mdeg]
Y2UNITS	HT[V]
FIRSTX	600.0000
LASTX	300.0000
NPOINTS	3001
FIRSTY	-53.54712
MAXY	133.42001
MINY	-581.04407
XYDATA
582.9000	-55.4783	428.017
582.8000	-55.5366	427.865
582.7000	-55.624	427.715
582.6000	-55.6565	427.567
582.5000	-55.6023	427.419
582.4000	-55.4769	427.273
582.3000	-55.2337	427.128
582.2000	-55.0437	426.982
582.1000	-54.9116	426.835
582.0000	-54.7774	426.69
581.9000	-54.6876	426.545
581.8000	-54.5399	426.367
581.7000	-54.4511	426.158
581.6000	-54.4045	425.929
581.5000	-54.3131	425.694
581.4000	-54.2066	425.453
581.3000	-54.0466	425.206
581.2000	-53.8899	424.959
581.1000	-53.7256	424.709
581.0000	-53.6063	424.457
580.9000	-53.587	424.205
580.8000	-53.6425	424.005
580.7000	-53.6915	423.844
580.6000	-53.6439	423.699
580.5000	-53.6059	423.565
580.4000	-53.507	423.437
580.3000	-53.3453	423.313
580.2000	-53.2348	423.191
580.1000	-53.1116	423.068
580.0000	-52.9324	422.946
579.9000	-52.798	422.823
579.8000	-52.6872	422.702
579.7000	-52.6123	422.58
579.6000	-52.5052	422.459
579.5000	-52.3459	422.335
579.4000	-52.213	422.147
579.3000	-52.0755	421.932
579.2000	-52.0222	421.709
579.1000	-52.0046	421.479
579.0000	-52.0053	421.243
578.9000	-52.1615	421.002
578.8000	-52.3574	420.762
578.7000	-52.6081	420.523
578.6000	-52.8651	420.283
578.5000	-53.0387	420.042
578.4000	-53.1797	419.828
578.3000	-53.2644	419.651
578.2000	-53.3423	419.49
578.1000	-53.3895	419.339
578.0000	-53.4891	419.191
577.9000	-53.6056	419.048
577.8000	-53.6868	418.906
577.7000	-53.724	418.765
577.6000	-53.7201	418.627
577.5000	-53.6078	418.492
577.4000	-53.4108	418.356
577.3000	-53.187	418.221
577.2000	-53.0229	418.087
577.1000	-52.8699	417.921
577.0000	-52.7936	417.723
576.9000	-52.8811	417.515
576.8000	-53.0319	417.3
576.7000	-53.1806	417.08
576.6000	-53.3274	416.859
576.5000	-53.3814	416.635
576.4000	-53.4449	416.411
576.3000	-53.4248	416.186
576.2000	-53.4177	415.961
576.1000	-53.4927	415.74
576.0000	-53.5442	415.571
575.9000	-53.5448	415.439
575.8000	-53.5377	415.319
575.7000	-53.4924	415.202
575.6000	-53.4697	415.092
575.5000	-53.416	414.987
575.4000	-53.3452	414.88
575.3000	-53.2072	414.772
575.2000	-53.0472	414.665
575.1000	-52.9072	414.554
575.0000	-52.7782	414.446
574.9000	-52.6526	414.267
574.8000	-52.5159	414.066
574.7000	-52.3722	413.849
574.6000	-52.1803	413.627
574.5000	-52.0058	413.399
574.4000	-51.8797	413.168
574.3000	-51.8098	412.938
574.2000	-51.772	412.706
574.1000	-51.7435	412.471
574.0000	-51.7647	412.237
573.9000	-51.8024	412.003
573.8000	-51.8561	411.769
573.7000	-51.8893	411.56
573.6000	-51.9241	411.385
573.5000	-51.8758	411.223
573.4000	-51.8132	411.07
573.3000	-51.7461	410.922
573.2000	-51.6904	410.777
573.1000	-51.7012	410.636
573.0000	-51.6841	410.495
572.9000	-51.7365	410.354
572.8000	-51.7823	410.212
572.7000	-51.8418	410.068
572.6000	-51.8317	409.889
572.5000	-51.805	409.67
572.4000	-51.7749	409.436
572.3000	-51.7333	409.199
572.2000	-51.7523	408.956
572.1000	-51.7983	408.715
572.0000	-51.7966	408.476
571.9000	-51.7872	408.233
571.8000	-51.7358	407.99
571.7000	-51.6601	407.745
571.6000	-51.5685	407.499
571.5000	-51.4782	407.313
571.4000	-51.4176	407.161
571.3000	-51.396	407.024
571.2000	-51.3656	406.895
571.1000	-51.2714	406.769
571.0000	-51.2094	406.646
570.9000	-51.1543	406.525
570.8000	-51.1472	406.405
570.7000	-51.1558	406.286
570.6000	-51.1085	406.168
570.5000	-51.1206	405.992
570.4000	-51.1744	405.797
570.3000	-51.2305	405.593
570.2000	-51.2247	405.383
570.1000	-51.2269	405.168
570.0000	-51.1461	404.952
569.9000	-51.1011	404.733
569.8000	-51.0569	404.514
569.7000	-51.0198	404.292
569.6000	-50.9826	404.071
569.5000	-50.9363	403.852
569.4000	-50.8831	403.633
569.3000	-50.8161	403.416
569.2000	-50.7528	403.229
569.1000	-50.7146	403.083
569.0000	-50.7051	402.954
568.9000	-50.6717	402.834
568.8000	-50.5676	402.715
568.7000	-50.4537	402.599
568.6000	-50.3577	402.483
568.5000	-50.3167	402.369
568.4000	-50.2715	402.259
568.3000	-50.2952	402.121
568.2000	-50.2949	401.954
568.1000	-50.2993	401.774
568.0000	-50.2411	401.587
567.9000	-50.1174	401.397
567.8000	-50.0517	401.206
567.7000	-50.0436	401.017
567.6000	-49.9653	400.827
567.5000	-49.8824	400.635
567.4000	-49.7771	400.443
567.3000	-49.6687	400.25
567.2000	-49.6008	400.057
567.1000	-49.535	399.911
567.0000	-49.373	399.793
566.9000	-49.2046	399.686
566.8000	-49.066	399.584
