1.05	26.92	3.901092	36.5962180	-0.005127 	-0.000092	-0.596375	0.006289
1.066667	26.993999	4.039637	36.5960920	-0.005253 	-0.000089	-0.589625	0.006416
1.083333	27.077999	4.232182	36.5959050	-0.005440 	-0.000086	-0.582125	0.006616
1.1	27.141001	4.459093	36.5958440	-0.005501 	-0.000083	-0.57425	0.00684
1.116667	27.219	4.637453	36.5957180	-0.005627 	-0.000083	-0.567125	0.007044
1.133333	27.298	4.739454	36.5958140	-0.005531 	-0.000089	-0.562375	0.007157
1.15	27.365999	4.81091	36.5957790	-0.005566 	-0.000094	-0.554625	0.007166
1.166667	27.455	4.846364	36.5956570	-0.005688 	-0.000091	-0.5465	0.007148
1.183333	27.554001	4.925453	36.5955010	-0.005844 	-0.000098	-0.539375	0.007215
1.2	27.632999	4.943453	36.5954060	-0.005939 	-0.000099	-0.531875	0.007337
1.216667	27.705999	4.984906	36.5951230	-0.006222 	-0.000096	-0.524375	0.007436
1.233333	27.795	5.028	36.5950320	-0.006313 	-0.000089	-0.517875	0.007435
1.25	27.868	5.020908	36.5951230	-0.006222 	-0.000086	-0.510875	0.007417
1.266667	27.958	5.00727	36.5949360	-0.006409 	-0.000081	-0.50225	0.007513
1.283333	28.035999	5.069458	36.5949670	-0.006378 	-0.000079	-0.4945	0.007607
1.3	28.129999	5.101093	36.5950010	-0.006344 	-0.000074	-0.487625	0.007684
1.316667	28.218	5.08309	36.5948450	-0.006500 	-0.000081	-0.479625	0.007728
1.333333	28.302	5.10873	36.5946240	-0.006721 	-0.000099	-0.47275	0.007553
1.35	28.379999	5.136548	36.5945630	-0.006782 	-0.00011	-0.463625	0.007459
1.366667	28.474001	5.15346	36.5944670	-0.006878 	-0.000112	-0.455625	0.007347
1.383333	28.552	5.178003	36.5944370	-0.006908 	-0.000116	-0.44825	0.00721
1.4	28.629999	5.254366	36.5943110	-0.007034 	-0.000115	-0.44125	0.007027
1.416667	28.724001	5.34655	36.5940320	-0.007313 	-0.000108	-0.43725	0.006851
1.433333	28.823	5.451822	36.5938760	-0.007469 	-0.000104	-0.42775	0.006585
1.45	28.902	5.512361	36.5940320	-0.007313 	-0.000105	-0.421875	0.006482
1.466667	29	5.602365	36.5937810	-0.007564 	-0.00011	-0.415625	0.006476
1.483333	29.099001	5.67	36.5936240	-0.007721 	-0.000111	-0.409125	0.006598
1.5	29.193001	5.673816	36.5936550	-0.007690 	-0.000108	-0.402875	0.006753
1.516667	29.292	5.677093	36.5936240	-0.007721 	-0.000103	-0.39775	0.006693
1.533333	29.379999	5.707092	36.5933760	-0.007969 	-0.000112	-0.390125	0.0067
1.55	29.478001	5.671636	36.5931890	-0.008156 	-0.000114	-0.382875	0.006752
1.566667	29.577	5.671634	36.5930330	-0.008312 	-0.000132	-0.374375	0.006708
1.583333	29.665001	5.704364	36.5929990	-0.008346 	-0.000153	-0.36725	0.006672
1.6	29.759001	5.740364	36.5931240	-0.008221 	-0.000161	-0.362	0.006633
1.616667	29.857	5.806907	36.5928120	-0.008533 	-0.000152	-0.356875	0.006462
1.633333	29.945	5.862541	36.5925640	-0.008781 	-0.000151	-0.34875	0.006197
1.65	30.049	5.934543	36.5922200	-0.009125 	-0.000166	-0.34375	0.00591
1.666667	30.152	6.033814	36.5920300	-0.009315 	-0.000185	-0.337	0.005707
1.683333	30.250999	6.119452	36.5919690	-0.009376 	-0.000195	-0.330125	0.005459
