TITLE,231010-Ru(phen)3-100
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/10
TIME,13:52:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00211
MAXY,     1.46183
MINY,     0.00191
XYDATA
900.0000,0.00210696
899.8000,0.00210756
899.6000,0.0021075
899.4000,0.00210875
899.2000,0.00210821
899.0000,0.00210726
898.8000,0.00210935
898.6000,0.00210654
898.4000,0.00210642
898.2000,0.00210416
898.0000,0.00210231
897.8000,0.00209968
897.6000,0.00209717
897.4000,0.00209341
897.2000,0.00209359
897.0000,0.00209096
896.8000,0.00208989
896.6000,0.00208852
896.4000,0.00208625
896.2000,0.00208273
896.0000,0.00208111
895.8000,0.00207998
895.6000,0.00207759
895.4000,0.00207252
895.2000,0.00206822
895.0000,0.00206362
894.8000,0.0020613
894.6000,0.00205742
894.4000,0.00205127
894.2000,0.00204625
894.0000,0.00204345
893.8000,0.00203927
893.6000,0.00203324
893.4000,0.0020287
893.2000,0.0020222
893.0000,0.00201712
892.8000,0.00201342
892.6000,0.00200751
892.4000,0.00200136
892.2000,0.00199587
892.0000,0.00198901
891.8000,0.0019828
891.6000,0.00197892
891.4000,0.00197408
891.2000,0.00196972
891.0000,0.00196364
890.8000,0.00195617
890.6000,0.001952
890.4000,0.00194632
890.2000,0.00193988
890.0000,0.00193546
889.8000,0.00193122
889.6000,0.00192489
889.4000,0.0019194
889.2000,0.00191534
889.0000,0.00191331
888.8000,0.00191224
888.6000,0.00191158
888.4000,0.00191021
888.2000,0.00191158
888.0000,0.00191457
887.8000,0.00191761
887.6000,0.00192012
887.4000,0.00192203
887.2000,0.00192597
887.0000,0.0019314
886.8000,0.00193761
886.6000,0.00194406
886.4000,0.00194997
886.2000,0.00195582
886.0000,0.0019625
885.8000,0.00197068
885.6000,0.00197886
885.4000,0.0019868
885.2000,0.00199211
885.0000,0.00199856
884.8000,0.00200453
884.6000,0.00201199
884.4000,0.00201915
884.2000,0.00202327
884.0000,0.00203002
883.8000,0.00203795
883.6000,0.00204231
883.4000,0.00204828
883.2000,0.00205485
883.0000,0.0020595
882.8000,0.00206512
882.6000,0.00206971
882.4000,0.00207419
882.2000,0.00208022
882.0000,0.00208565
881.8000,0.00208977
881.6000,0.00209353
881.4000,0.00209735
881.2000,0.00210117
881.0000,0.00210493
880.8000,0.00211054
880.6000,0.00211323
880.4000,0.00211777
880.2000,0.00212039
880.0000,0.00212457
879.8000,0.0021303
879.6000,0.00213335
879.4000,0.00213472
879.2000,0.00213866
879.0000,0.00214337
878.8000,0.00214719
878.6000,0.00215113
878.4000,0.00215579
